Sl. No,Project Name,Agency,Project Code,State,Approval Date,Start Date,Target DoC,Revised DoC,Original Cost,Revised Cost,Cumulative Expenditure,Physical Progress
79,GANDHIGRAM UG MINE,WCL - CIL,615206,Madhya Pradesh,08/2019,08/2019,03/2026,03/2027,414.15,414.15,28.54,56.88
80,JAYANT EXPN. [20 TO 38 MTPA],NCL - CIL,619032,Madhya Pradesh,02/2025,02/2025,03/2032,-,25560.48,25560.48,333.3,2.1
81,RPR FOR RAMPUR BATURA OCP,SECL - CIL,619053,Madhya Pradesh,05/2025,05/2025,03/2030,-,1604.69,1604.69,75.28,0.3
82,BHATADI EXPANSION OC,WCL - CIL,400033,Maharashtra,02/2020,05/2022,03/2028,-,580.61,580.61,112.17,34.25
83,AMALGAMATED YEKONA I & YEKONA,WCL - CIL,400177,Maharashtra,08/2015,08/2015,03/2025,03/2027,727.28,727.28,564.25,80.77
84,DINESH[MAKARDHOKRA-III] OC,WCL - CIL,400178,Maharashtra,02/2020,02/2020,03/2027,-,822.88,822.88,792,40.63
85,DHUPTALA OC [SASTI UG TO OC ],WCL - CIL,400353,Maharashtra,02/2019,10/2021,03/2028,-,711.01,711.01,174.66,19.02
122,Jawahar Khani Open Cast Mine,Singareni Collieries Company Limited [SCCL],615818,Telangana,12/2021,12/2021,03/2025,03/2027,297.88,297.88,50.39,20
123,Kalyanikhani Opencast Project,Singareni Collieries Company Limited [SCCL],615858,Telangana,03/2016,05/2017,03/2026,-,384.32,384.32,304.39,77
124,Godavarikhani Coal Mine - 5,Singareni Collieries Company Limited [SCCL],615860,Telangana,07/2019,05/2019,03/2025,03/2026,607.04,607.04,201,71
125,Indaram Opencast Project,Singareni Collieries Company Limited [SCCL],615861,Telangana,08/2017,12/2022,03/2025,03/2026,424.81,424.81,408.69,81
126,Goleti Opencast Mine,Singareni Collieries Company Limited [SCCL],615862,Telangana,07/2021,08/2021,03/2026,-,345.6,345.6,111.94,33
